nom,diplome,statut,ville,nombre_etoiles,nombre_commentaires,classement,mention,specialite,adresse,taux_reussite_bac,taux_mentions_bac,effectifs_terminale,classement_lycees_generaux_technos,classement_lycees_pros
Lycée polyvalent Jan Lavezzari,Public,Polyvalent,Berck,3.2,(10),19.0,60.0,9.0,Berck Avenue du Phare BP 69 62602 Berck,98.0,60.0,227.0,14.1,14.7
Lycée de l'Arc,Public,Général,Orange,3.1,(14),14.0,59.0,11.0,Orange 346 avenue des Etudiants BP 189 84106 Orange,96.0,59.0,351.0,13.6,13.1
Lycée polyvalent Pierre Lagourgue,Public,Polyvalent,Le Tampon,3.8,(8),20.0,70.0,10.0,Le Tampon 30 Chemin Mazeau Trois Mares 97430 Le Tampon,95.0,70.0,225.0,13.6,9.6
Lycée polyvalent Pyrène,Public,Polyvalent,Pamiers,3.8,(17),1.0,60.0,12.0,Pamiers place du Mercadal BP 30178 09104 Pamiers cedex,94.0,60.0,392.0,12.2,15.3
Lycée Alphonse Benoît,Public,Polyvalent,L'Isle-sur-la-Sorgue,3.6,(7),18.0,67.0,11.0,L'Isle-sur-la-Sorgue Cours Victor Hugo BP 118 84803 L'Isle-sur-la-Sorgue,92.0,67.0,297.0,12.4,13.1
Lycée général et technologique du Couserans,Public,Général,Saint-Girons,3.0,(9),7.0,63.0,8.0,Saint-Girons Esplanade Pierre Mendès France BP 113 09201 Saint-Girons,96.0,63.0,119.0,11.9,9.4
Lycée Anatole France,Public,Général,Lillers,3.0,(13),18.0,65.0,9.0,Lillers 64 boulevard de Paris BP 49 62190 Lillers,95.0,65.0,220.0,11.6,14.7
Lycée Louis Blaringhem,Public,Général,Béthune,3.7,(11),17.0,70.0,12.0,Béthune Boulevard Victor Hugo BP 812 62408 Béthune,95.0,70.0,406.0,14.8,14.4
Lycée polyvalent Louis Marchal,Public,Polyvalent,Molsheim,2.8,(10),30.0,54.0,10.0,Molsheim 2 route industrielle de la Hardt BP 42056 67125 Molsheim,89.0,54.0,209.0,13.0,8.6
Lycée Sévigné,Public,Général,Charleville-Mézières,3.2,(6),10.0,52.0,17.0,Charleville-Mézières 14 rue Mme de Sévigné 08013 Charleville-Mézières,90.0,52.0,280.0,11.7,12.3
Lycée polyvalent Jean Joly,Public,Polyvalent,Saint-Louis,3.5,(8),39.0,55.0,10.0,Saint-Louis 2 chemin la Ouette 97421 Saint-Louis,94.0,55.0,274.0,11.5,9.1
Lycée Mémona Hintermann-Afféjee,Public,Polyvalent,Saint-Denis,3.2,(2),38.0,48.0,10.0,Saint-Denis 1 rue des franciscéas BP 50136 97491 Saint-Denis,91.0,48.0,341.0,11.0,11.6
